_name,cmn-CN,en-US,fr-FR
A,字母A在哪里？,Where is the A?,Où est le A ?
B,字母B在哪里？,Where is the B?,Où est le B ?
C,字母C在哪里？,Where is the C?,Où est le C ?
D,字母D在哪里？,Where is the D?,Où est le D ?
E,字母E在哪里？,Where is the E?,Où est le E ?
F,字母F在哪里？,Where is the F?,Où est le F ?
G,字母G在哪里？,Where is the G?,Où est le G ?
H,字母H在哪里？,Where is the H?,Où est le H ?
I,字母I在哪里？,Where is the I?,Où est le I ?
J,字母J在哪里？,Where is the J?,Où est le J ?
K,字母K在哪里？,Where is the K?,Où est le K ?
L,字母L在哪里？,Where is the L?,Où est le L ?
M,字母M在哪里？,Where is the M?,Où est le M ?
N,字母N在哪里？,Where is the N?,Où est le N ?
O,字母O在哪里？,Where is the O?,Où est le O ?
P,字母P在哪里？,Where is the P?,Où est le P ?
Q,字母Q在哪里？,Where is the Q?,Où est le Q ?
R,字母R在哪里？,Where is the R?,Où est le R ?
S,字母S在哪里？,Where is the S?,Où est le S ?
T,字母T在哪里？,Where is the T?,Où est le T ?
U,字母U在哪里？,Where is the U?,Où est le U ?
V,字母V在哪里？,Where is the V?,Où est le V ?
W,字母W在哪里？,Where is the W?,Où est le W ?
X,字母X在哪里？,Where is the X?,Où est le X ?
Y,字母Y在哪里？,Where is the Y?,Où est le Y ?
Z,字母Z在哪里？,Where is the Z?,Où est le Z ?
0,数字0在哪里？,Where is the zero ?,Où est le zéro ?
1,数字1在哪里？,Where is the one?,Où est le un ?
2,数字2在哪里？,Where is the two?,Où est le deux ?
3,数字3在哪里？,Where is the three?,Où est le trois ?
4,数字4在哪里？,Where is the four?,Où est le quatre ?
5,数字5在哪里？,Where is the five?,Où est le cinq ?
6,数字6在哪里？,Where is the six?,Où est le six ?
7,数字7在哪里？,Where is the seven?,Où est le sept ?
8,数字8在哪里？,Where is the eight?,Où est le huit ?
9,数字9在哪里？,Where is the nine?,Où est le neuf ?
10,数字10在哪里？,Where is the ten?,Où est le dix ?